step,Mean of loss_function,Mean of U,L1 Abs error,L1 rel error,elapsed_time,,57.3
0,123.582,46.0682,11.2318,0.196017452,0,,
100,107.47,46.8546,,,36,,
200,94.0558,47.5977,,,43,,
300,82.7665,48.3003,,,48,,
400,73.3269,48.9595,,,54,,
500,65.5201,49.5795,,,60,,
600,58.8795,50.1713,,,66,,
700,53.1043,50.7398,,,73,,
800,48.1191,51.291,,,78,,
900,43.8939,51.8077,,,87,,
1000,40.172,52.3008,4.9992,0.087246073,93,,
1100,37.1311,52.7682,,,100,,
1200,34.5608,53.1998,,,113,,
1300,32.3431,53.6146,,,122,,
1400,30.6183,54.0028,,,130,,
1500,29.3063,54.3704,,,141,,
1600,28.2719,54.6998,,,147,,
1700,27.589,54.9973,,,153,,
1800,26.8693,55.2927,,,161,,
1900,26.3983,55.5459,,,168,,
2000,26.0527,55.7642,1.5358,0.026802792,174,,
2100,25.7677,55.9763,,,181,,
2200,25.5858,56.1655,,,187,,
2300,25.4811,56.3086,,,193,,
2400,25.4575,56.438,,,199,,
2500,25.5409,56.5431,,,205,,
2600,25.4518,56.6578,,,211,,
2700,25.5154,56.7255,,,218,,
2800,25.5046,56.7952,,,224,,
2900,25.5955,56.9082,,,230,,
3000,25.7447,56.9638,0.3362,0.005867365,236,,
3100,25.7176,56.9922,,,243,,
3200,25.5774,56.9996,,,249,,
3300,25.6299,57.011,,,255,,
3400,25.624,57.0139,,,260,,
3500,25.5771,56.9838,,,266,,
3600,25.5909,57.0532,,,272,,
3700,25.6369,57.0569,,,278,,
3800,25.6161,57.0725,,,285,,
3900,25.652,57.0683,,,291,,
4000,25.528,57.0434,0.2566,0.004478185,297,,
4100,25.6611,57.0238,,,303,,
4200,25.5491,57.0134,,,309,,
4300,25.452,56.978,,,315,,
4400,25.4943,56.976,,,321,,
4500,25.4528,57.0131,,,327,,
4600,25.432,57.0541,,,333,,
4700,25.478,57.0497,,,340,,
4800,25.478,57.0973,,,347,,
4900,25.4087,57.0526,,,354,,
5000,25.4471,57.0478,0.2522,0.004401396,361,,
5100,25.4276,57.053,,,368,,
5200,25.431,57.0709,,,376,,
5300,25.4307,57.0552,,,387,,
5400,25.4514,57.0807,,,397,,
5500,25.3423,57.0565,,,407,,
5600,25.3834,57.0602,,,418,,
5700,25.3576,57.0405,,,428,,
5800,25.2589,57.1005,,,439,,
5900,25.1815,57.0291,,,451,,
6000,25.1507,57.0886,0.2114,0.003689354,461,,
